identifier,logFC,logCPM,p-Value,FDR
LOC101928510,3.676468657,-1.601270908,0.017,0.291604586
LOC101929577,3.367178587,-1.762411474,0.017,0.291604586
RELL1,0.765024753,2.509105995,0.017,0.291604586
SLC20A1,0.957689839,3.225867041,0.017,0.291604586
SSNA1,-0.676604842,4.989925226,0.017,0.291604586
ATP5G1,-0.831189168,6.356690285,0.017,0.291604586
LRIT2,3.894259457,-2.994671057,0.017,0.291604586
GDF6,1.939813833,-1.311771638,0.017,0.291604586
NDUFA13,-0.782864919,7.933509501,0.017,0.291604586
FAM227A,1.909991444,-0.335443105,0.017,0.291604586
LOC101929431,2.982071928,-1.864262674,0.017,0.291604586
GAPDH,-0.955722134,12.82132189,0.017,0.291604586
SOAT1,0.928911978,1.972180546,0.017,0.291604586
PWRN2,3.98459386,-1.357615086,0.017,0.291604586
LINC00173,1.812873966,-1.295445108,0.017,0.291604586
FOXL2,2.713291861,-1.775246953,0.017,0.291604586
UQCRHL,-0.709500641,4.050834625,0.017,0.291604586
LINC00906,3.310350168,-2.443683388,0.017,0.291604586
CA5A,3.36046457,-3.418110906,0.017,0.291604586
APOBEC2,-0.937325024,8.660840786,0.017,0.291604586
CT45A1,3.421373999,-2.052662535,0.017,0.291604586
PSMC3,-0.660529803,7.086157291,0.017,0.291604586
PART1,2.987449546,-1.131601054,0.017,0.291842733
LINC00305,4.598593833,-4.151489123,0.017,0.292105368
LOC400655,3.024280985,-2.498647942,0.017,0.292105368
SYT11,0.702072261,2.659843012,0.017,0.292105368
LINC01361,3.348910303,-3.398397114,0.017,0.292105368
ANGPTL7,2.04083219,3.110189298,0.017,0.292105368
MPC2,-0.710251864,6.814021185,0.017,0.292133699
LGALS9B,1.954429254,-2.990343521,0.017,0.292133699
LINC01276,3.848651331,-3.632140171,0.017,0.292133699
RIPK2,1.142511431,1.303777654,0.017,0.292133699
HEPACAM,1.528315435,-0.002813477,0.017,0.292993475
DKFZp779M0652,-1.298408969,2.668298571,0.017,0.292993475
SOX4,1.349159851,4.881965886,0.017,0.292993475
SPATA21,1.997264866,-2.476917062,0.017,0.292993475
EFCAB5,1.203899943,-0.444012417,0.017,0.292993475
NDUFB5,-0.807037905,6.055061475,0.017,0.292993475
TRAF3IP2,0.803035878,1.974093659,0.017,0.292993475
TRAPPC3,-0.579689266,4.495304888,0.017,0.292993475
GADD45G,-1.434009221,7.300208939,0.017,0.292993475
CXXC4,1.621953042,-0.471375958,0.017,0.292993475
LINC00676,3.49368875,-4.056065214,0.017,0.292993475
SOX1,2.874431834,-2.36088024,0.017,0.292993475
C15orf61,-0.741672585,4.289249569,0.017,0.292993475
HIST1H2BK,1.558257692,1.077956612,0.017,0.292993475
HIST1H2AC,-0.775874478,2.286650596,0.017,0.292993475
LOC284950,1.341525975,-2.113574481,0.017,0.292993475
TMEM266,-0.80865686,3.64925688,0.017,0.292993475
MMP19,0.927953585,1.107733885,0.017,0.292993475
PLAUR,1.42235613,1.586728038,0.017,0.292993475
C20orf96,1.145756017,0.036513953,0.017,0.292993475
SLC9C2,2.624311536,-2.353028832,0.018,0.292993475
LOC101060524,3.031663492,-1.413069968,0.018,0.292993475
DRD5P2,3.031662785,-1.413069968,0.018,0.292993475
MRPL11,-0.681868406,5.173992921,0.018,0.292993475
APOF,3.236800598,-1.751441382,0.018,0.292993475
LRRC23,-0.726403255,2.670949296,0.018,0.292993475
ECT2L,1.773046487,-1.859472432,0.018,0.292993475
NMNAT1,-0.892820659,5.059280097,0.018,0.292993475
CCDC144CP,1.271806319,-0.387193253,0.018,0.292993475
LOC101928539,3.230154341,-2.486116434,0.018,0.292993475
RNLS,-0.594844794,2.415046853,0.018,0.292993475
LOC105372179,3.217279611,-3.902180747,0.018,0.292993475
MS4A10,2.857531219,-3.035387484,0.018,0.292993475
TRAPPC2B,-0.700962968,2.2399012,0.018,0.292993475
CHCHD2,-0.646949288,7.810916236,0.018,0.292993475
LOC102724434,3.646804877,-2.598883126,0.018,0.293112243
C7orf31,1.172084311,-0.661910928,0.018,0.293112243
MIEN1,-0.841971806,4.167435596,0.018,0.293112243
LOC100506444,3.418796724,-2.38314695,0.018,0.293112243
PPP1R36,1.962950283,-1.301982204,0.018,0.293112243
CCL2,1.818406828,2.053429216,0.018,0.293112243
SLC19A3,1.680201207,0.245355074,0.018,0.293112243
ENDOU,1.494820989,-1.804529391,0.018,0.293112243
LOC440028,2.102737691,-1.367455339,0.018,0.293112243
PSMB10,-1.020948166,5.520169528,0.018,0.293112243
FAM72D,1.381925305,-0.804746291,0.018,0.293112243
GNG4,2.461101455,-1.856339067,0.018,0.293112243
FOXO1,0.73043481,5.183565933,0.018,0.293112243
ATP6V0A4,2.9509446,-2.629622026,0.018,0.293112243
SKA1,2.808524557,-1.304392234,0.018,0.293523406
PPP1R15B,1.063077,4.302385178,0.018,0.293523406
TRPM5,2.735307997,-1.571147118,0.018,0.293523406
ANKRD33B,1.122134744,4.189757053,0.018,0.2936002
C1orf210,3.348157134,-3.064352953,0.018,0.2936002
LOC101927058,3.85280469,-2.961389119,0.018,0.2936002
MCF2,2.229054746,-1.965475697,0.018,0.2936002
GALNT16,0.661655675,3.394086252,0.018,0.2936002
FRMD5,2.327846542,-1.733495691,0.018,0.2936002
PCK1,1.694230299,1.126136078,0.018,0.2936002
PALM2,1.183959191,0.186535564,0.018,0.2936002
FIS1,-0.768186664,7.531119278,0.018,0.2936002
KIAA0040,0.835999817,3.625320592,0.018,0.2936002
CIB2,-1.196279528,3.461099909,0.018,0.2936002
NHEG1,3.318070827,-3.601893872,0.018,0.295130711
CLDN11,0.757658068,0.832074683,0.018,0.29553161
PTGER4,1.16509489,3.334367634,0.018,0.295641151
CD83,1.554741978,1.084412915,0.018,0.295641151
NENF,-0.684712767,5.530071086,0.018,0.296199357
LOC101928107,3.376335543,-3.399130788,0.018,0.296199357
GLB1L2,-1.113723024,0.772944568,0.019,0.296423217
LOC100505918,2.93056193,-2.830822942,0.019,0.296423217
C2orf66,4.400054371,-2.479878228,0.019,0.296423217
S100P,2.04407236,-2.175135855,0.019,0.296423217
MBD3L3,3.514935751,-2.727352925,0.019,0.296423217
LOC729970,1.480134845,-0.685363914,0.019,0.296423217
REPS2,1.11303245,-0.187060973,0.019,0.296423217
SNRPD2,-0.918405607,5.531929054,0.019,0.296423217
CYP27A1,-0.64524382,5.099060123,0.019,0.296423217
CDC20B,3.142847387,-2.512664952,0.019,0.296423217
TAT,3.258483541,-2.273964954,0.019,0.296423217
MDH1,-0.761764957,8.500384848,0.019,0.296423217
COX4I1,-0.772649019,8.781026761,0.019,0.296765717
NHLH1,2.145134707,-1.51060792,0.019,0.297255477
TMIGD1,3.473386068,-3.64176825,0.019,0.297255477
TSACC,2.7118069,-0.978081487,0.019,0.297255477
LOC101927596,2.734125437,-3.703193927,0.019,0.297255477
WBSCR17,1.04125437,1.225244951,0.019,0.297255477
CYP1A2,3.498348137,-1.801310306,0.019,0.297255477
PLK4,1.668744948,-1.162346613,0.019,0.297255477
PSMD14,-0.680695029,4.854576658,0.019,0.297255477
LOC105373782,3.22390854,-4.328695124,0.019,0.297255477
MRPS28,-0.660041806,4.957595995,0.019,0.297255477
ARMC9,1.156874533,0.580058645,0.019,0.297255477
LINC01213,3.60266325,-2.904459711,0.019,0.297255477
TGFBR3,0.734287885,4.499613333,0.019,0.297255477
ARMCX4,0.762322622,3.873067939,0.019,0.298063315
LINC00243,3.095728176,-2.616119853,0.019,0.298145138
DSC2,1.169573306,0.146441489,0.019,0.298728413
LOC105371335,4.132679371,-4.237558234,0.019,0.298754261
LOC101927780,3.139152999,-1.944190036,0.019,0.298800485
CXADR,1.774373849,-1.641179978,0.019,0.29891511
DSG2,0.855078317,1.557213916,0.019,0.29891511
LPAR4,1.833527802,-2.285751867,0.019,0.29891511
DAW1,3.273532131,-3.309871307,0.019,0.29891511
BTG1,1.232071165,4.589267642,0.019,0.29891511
GLRX3,-0.598979995,4.061411698,0.019,0.29891511
DUXAP8,1.28380652,-0.789752806,0.019,0.29891511
MRPL34,-0.680132955,5.846237823,0.019,0.29891511
SAT1,1.278894975,4.982076269,0.019,0.298930948
DHRS7C,-0.932569647,7.188391635,0.019,0.298930948
OLR1,3.593619336,-2.415521217,0.019,0.298930948
TM4SF1,1.198167437,5.429586204,0.019,0.298930948
SEMA3D,1.667169129,-0.992398494,0.019,0.298930948
LOC101927650,3.645528412,-4.143482685,0.019,0.298930948
LINC00668,3.346736149,-2.670776921,0.019,0.298930948
RGS4,1.811796045,-0.460165646,0.019,0.298930948
LOC644838,3.837008516,-3.367970168,0.019,0.298930948
UBB,-0.620975966,9.836676204,0.019,0.298930948
LOC101928514,2.071001677,-1.556378345,0.019,0.298930948
ELF4,0.809138516,1.621128365,0.019,0.298930948
CH25H,3.042442298,0.201414954,0.02,0.298930948
NCOA7,0.916037373,2.531314766,0.02,0.299255081
LINC01387,3.360852777,-4.185879529,0.02,0.299255081
MSR1,1.024573649,0.864058408,0.02,0.299255081
NUTF2,-0.544897971,5.367949259,0.02,0.299586021
ZNF367,1.093815946,0.990185833,0.02,0.299646984
TSPAN5,-1.153749367,1.403472451,0.02,0.300325882
ATP5O,-0.79376797,7.497168281,0.02,0.30041429
NKAIN3,2.400926698,-2.526772611,0.02,0.300549065
CD44,1.059776902,4.320463043,0.02,0.300549065
FASN,1.26800177,5.930085951,0.02,0.300549065
MYBPC2,-0.961017603,12.08810154,0.02,0.300871556
ZNF611,0.929346738,0.853100347,0.02,0.300873672
LOC100287036,-0.771689905,1.632087716,0.02,0.300873672
MTSS1L,-0.841320027,7.182037317,0.02,0.300873672
GABRG2,4.129721356,-2.852410796,0.02,0.300873672
ZNF829,0.933171767,0.465079285,0.02,0.300873672
LOC100271832,3.261537094,-3.512497358,0.02,0.300873672
UQCRH,-0.868631551,7.869033455,0.02,0.301139616
PIGH,-0.704144671,3.044031247,0.02,0.301139616
POM121L8P,2.072732105,-0.241536979,0.02,0.301139616
CTH,1.624791134,0.708350832,0.02,0.301139616
AK1,-0.905845797,9.236955129,0.02,0.301720685
SLC7A14,2.968365436,-0.909914192,0.02,0.302469616
FGF21,2.067839798,-1.670164675,0.02,0.302724892
PAIP1,-0.711407271,6.869752329,0.02,0.303540533
UBA3,-0.550833322,4.541938179,0.02,0.303541747
MAPKAP1,-0.709157552,6.562317327,0.02,0.303541747
ZIM3,3.181344156,-3.261119019,0.02,0.303541747
ILDR1,3.645908354,-2.56001213,0.02,0.303541747
FAHD1,-0.596251819,4.442091603,0.02,0.304002441
MELK,2.110038265,-1.573333774,0.02,0.304226132
TRIM29,1.42417838,-0.873907076,0.02,0.304226132
NTM-IT,3.530435255,-3.689576457,0.02,0.304226132
TPH1,1.870360069,-2.332725268,0.02,0.304226132
SMIM10L1,-0.677338873,5.092372727,0.021,0.304409106
CRYGB,3.750824525,-4.359005434,0.021,0.304409106
SNAP91,2.238364019,-1.555292076,0.021,0.304409106
NEURL1,-0.862875254,7.05283904,0.021,0.304409106
LOC101929504,3.299672652,-2.92307269,0.021,0.304434282
LOC102724053,3.484272455,-3.910968091,0.021,0.304434282
LINC01268,3.172010107,-3.195806707,0.021,0.304434282
FAM171B,1.287079964,0.846160206,0.021,0.304434282
FOSL1,1.830290278,0.046582413,0.021,0.304434282
C10orf126,2.959329074,-2.956815295,0.021,0.304434282
LOC286059,2.608102947,-3.143379733,0.021,0.304808636
LOC100506747,2.670671529,-2.992677806,0.021,0.304808636
CXCR2,-1.480336354,-0.610279725,0.021,0.304936704
LINC00294,0.784897132,1.288341309,0.021,0.30501664
PPP1R7,-0.604655884,5.376779459,0.021,0.305110108
TMA7,-0.816560072,6.011375149,0.021,0.305110108
ERC2-IT1,3.373450788,-2.964548506,0.021,0.305110108
ANTXR1,0.698772812,4.753508326,0.021,0.305500994
PRKACG,3.109977373,-1.78843095,0.021,0.305500994
PIGR,2.909238421,-1.842853532,0.021,0.305500994
TF,1.529209197,1.187840529,0.021,0.305500994
NME2,-0.681306652,6.887772908,0.021,0.305500994
INE1,0.879054934,0.284734204,0.021,0.305500994
LCE3B,4.095480962,-4.198493353,0.021,0.305500994
IMMP1L,-0.750191639,2.60006947,0.021,0.305531887
LOC101927142,3.217394193,-3.258828474,0.021,0.305531887
DNAJB1,1.361395157,6.693873109,0.021,0.305531887
VSTM1,3.308957795,-3.057260045,0.021,0.305531887
LOC105372626,4.015827329,-4.311651706,0.021,0.305632765
EPHA7,2.001526609,-1.172569268,0.021,0.305632765
GUCY2F,3.607287578,-2.399591117,0.021,0.305921064
ANXA1,1.00455428,5.241052664,0.021,0.305986594
LOC101928973,3.698368784,-4.056053973,0.021,0.306061544
LOC102723427,3.302121878,-3.972422615,0.021,0.306061544
CD109,0.922973254,2.272665712,0.021,0.306061544
IER3,1.428399153,3.52199671,0.021,0.306061544
OVOL1,2.966576943,-2.595592717,0.021,0.306061544
LOC101927630,4.158904353,-4.312443352,0.021,0.306061544
RGS14,-0.869053349,3.065063131,0.021,0.306061544
LOC100289333,2.341514543,-3.499745846,0.021,0.306061544
MRGPRE,3.157546187,-2.614396985,0.021,0.306061544
TRPC1,1.088054195,0.844461669,0.021,0.306857284
PDZK1,1.327798301,-1.254255583,0.021,0.306857284
LOC285889,2.152534293,-2.210878953,0.021,0.306857284
LOC100130899,2.436768701,-2.127738699,0.021,0.306857284
LOC642929,2.867011062,-3.132001194,0.021,0.306857284
GYPB,4.104069915,-4.344893295,0.022,0.307266916
SF3B5,-0.649008192,5.107714959,0.022,0.307266916
CRAT8,3.613330579,-3.377594833,0.022,0.308522547
RDH14,-0.56117996,4.374584774,0.022,0.308522547
IRGC,2.649785319,-2.727978648,0.022,0.308522547
IGF2BP1,2.703780566,-0.364036046,0.022,0.308522547
Sep-14,3.455593049,-2.219800779,0.022,0.308522547
CTD-2201E9.1,3.642034878,-3.132371236,0.022,0.309497906
LOC100506085,3.225681823,-2.497306515,0.022,0.309497906
CDH16,2.678201928,-2.275943183,0.022,0.309618952
UGT8,2.427484746,-1.972141553,0.022,0.309618952
CCL11,3.470445782,-2.699547378,0.022,0.309618952
ULK4P2,1.288036453,-0.946923194,0.022,0.309618952
ULK4P1,1.288037309,-0.946923194,0.022,0.309618952
NDUFB10,-0.79320478,7.928141478,0.022,0.309618952
LOC101927526,3.552168397,-2.488782798,0.022,0.309618952
LOC440910,2.757211743,-2.436241247,0.022,0.309743864
TLR6,1.218059849,-0.244491548,0.022,0.310621312
ZNF724P,2.605235037,-3.666776362,0.022,0.310621312
TBX18,0.925834752,2.119532131,0.022,0.310621312
ISCA2,-0.647706448,4.141689039,0.022,0.311182483
INSC,1.987484718,-1.766328607,0.022,0.311182483
ISY1,-0.575603719,4.629187113,0.022,0.31224296
TGIF2,0.914547723,1.438029927,0.022,0.31224296
IKBKB,-0.719947637,5.460843394,0.022,0.312282902
XCL1,2.428167474,-3.368353288,0.022,0.312362388
MID1,1.111952479,0.630124482,0.022,0.313656756
LOC100996251,1.356993621,-1.356081334,0.022,0.313656756
SLC38A1,1.002300951,3.736229523,0.022,0.313656756
LOC105375401,3.15342762,-2.915041868,0.022,0.313656756
LOC388692,1.141537025,0.693989151,0.023,0.313660803
LINC00710,3.680437907,-2.880773464,0.023,0.313660803
OAZ1,-0.659226689,9.138879619,0.023,0.314004848
THSD7A,0.907974967,0.803431252,0.023,0.314004848
MAP6D1,-0.83656007,4.103315065,0.023,0.314004848
LOC102723727,3.198951444,-3.7651715,0.023,0.314371049
SHH,2.583003192,-2.025981072,0.023,0.315393147
LOC339666,2.015479884,-2.449072044,0.023,0.315393147
GAB3,0.878334217,1.190080266,0.023,0.315393147
NSUN6,1.023369913,0.935383666,0.023,0.315995133
CGN,1.742643588,-1.49819816,0.023,0.316345638
OR7E156P,2.865443704,-2.838095338,0.023,0.316370201
NXF1,0.83423377,5.686803437,0.023,0.316370201
OLIG1,1.501389257,0.639151086,0.023,0.316370201
HCG2040054,2.46031466,-3.398477315,0.023,0.316370201
C6orf203,-0.816464969,3.322066235,0.023,0.316370201
LOC441454,1.688941044,-0.450674542,0.023,0.316370201
TRPM3,1.544148104,-1.196712225,0.023,0.316370201
CXCL1,2.569103916,-0.595882161,0.023,0.316370201
CMC2,-0.772539982,3.855718244,0.023,0.316370201
CYP27C1,1.219765868,-0.990936858,0.023,0.316568486
CCL22,2.931290199,-2.20761916,0.023,0.316568486
BAZ1A,1.108341513,3.84331911,0.023,0.316568486
BMS1P5,0.658888399,2.534923949,0.023,0.316568486
MS4A2,1.057129774,-0.111554281,0.023,0.316568486
TCAF2,0.929263757,0.81467911,0.023,0.316610362
DCST2,1.124866462,-1.260871037,0.023,0.317069378
CCEPR,2.895018661,-2.873301925,0.023,0.317069378
DLEU7,1.918041065,-1.774262115,0.023,0.317069378
SLC2A7,3.401640438,-3.378964001,0.023,0.317069378
TEKT2,2.469133814,-2.983980073,0.023,0.317069378
CRY1,0.827466779,3.316611136,0.023,0.317944896
LOC105370792,0.874835763,0.932493485,0.023,0.317944896
CT45A7,3.387424481,-0.99822875,0.023,0.317944896
TPM2,-0.944096589,14.46724225,0.023,0.317944896
NME1-NME2,-0.681967156,6.838817128,0.023,0.317944896
CT45A10,3.209883721,-2.934296287,0.023,0.317944896
SLC25A26,-0.614844537,4.345230336,0.024,0.317944896
IER5L,1.218403167,3.307202377,0.024,0.317944896
LINC01111,3.203615262,-3.373770689,0.024,0.317961563
LEP,1.726927622,1.474167415,0.024,0.318007209
FLVCR1,1.064907577,1.484597762,0.024,0.318007209
TES,0.811183095,2.905390617,0.024,0.318273986
PRELID3A,0.974102482,-0.628047919,0.024,0.318273986
CLEC19A,3.383853942,-2.092897788,0.024,0.318273986
ITGAE,-0.71994102,3.204740893,0.024,0.318273986
DNAJB13,1.594584763,-2.6570731,0.024,0.318273986
ABHD12B,2.337782686,-2.898315389,0.024,0.318273986
NTRK3,1.056126994,1.205540875,0.024,0.31883675
BANCR,3.360890384,-3.546190033,0.024,0.31883675
HTRA4,2.648704933,-2.611102669,0.024,0.31883675
CYP2B6,2.8492489,-2.474812445,0.024,0.319055352
SLC6A4,1.982448295,-1.277156081,0.024,0.319361438
RPL37A,-0.778903978,9.457471108,0.024,0.319723078
TRIM71,3.190387689,-1.058158817,0.024,0.319723078
SNTN,3.658001726,-3.067999661,0.024,0.320387184
SNHG6,-0.84894363,5.914762453,0.024,0.320661766
LINC01563,-0.940477069,0.960861691,0.024,0.320861891
RIMS2,2.664202602,-1.401594566,0.024,0.321670095
DPM3,-0.686509408,3.728428091,0.024,0.321670095
FAM46A,0.851858028,3.113349782,0.024,0.321683828
ZBP1,1.522906579,-1.697099735,0.024,0.321683828
SERF1B,-0.841934215,5.854083383,0.024,0.321696825
SERF1A,-0.841874644,5.854487051,0.024,0.321696825
PTGER4P2-CDK2AP2P2,2.26988206,-0.963897381,0.024,0.321918897
GPBAR1,1.006023484,-0.342625561,0.024,0.322079821
CYR61,1.295639924,6.44085641,0.024,0.322459006
MRPL37,-0.594169317,6.035224168,0.024,0.322459006
BAGE3,1.664255741,-1.733643639,0.024,0.322459006
BAGE2,1.664256839,-1.733643639,0.024,0.322459006
ELMO1,0.733052679,2.23833372,0.024,0.322459006
TROAP,1.642122109,-1.795616584,0.025,0.322459006
TMEM217,1.229562942,-0.311098617,0.025,0.322459006
TMPRSS11E,3.36297201,-2.789513088,0.025,0.322459006
MYH1,-1.101937366,13.89658793,0.025,0.322459006
LOC101929234,1.775945542,-2.188608992,0.025,0.322459006
SARNP,-0.567796989,4.986962234,0.025,0.322459006
CRAT37,3.617401959,-3.432895932,0.025,0.322459006
BAGE5,1.735773008,-1.724251123,0.025,0.322459006
BAGE4,1.735774595,-1.724251123,0.025,0.322459006
LINC00844,-1.585189898,0.270784295,0.025,0.322514342
SLX4IP,1.134453286,0.307334035,0.025,0.322727152
LOC101928008,2.72763267,-3.329540866,0.025,0.323027053
B4GALT3,1.04739537,3.922035068,0.025,0.323027053
LINC01206,3.472340873,-1.448508063,0.025,0.323027053
NDUFA7,-0.799777124,5.775259746,0.025,0.323168991
COX14,-0.715223579,6.06309372,0.025,0.32328135
MORC1,3.195077686,-2.972709371,0.025,0.32328135
ARID5B,1.217237437,4.475936067,0.025,0.32366421
PNKD,-0.622279106,4.811958695,0.025,0.324668607
BIRC3,1.322896484,1.818711098,0.025,0.324668607
BTBD6,-0.799372579,7.301973269,0.025,0.324668607
LOC101928902,3.551669458,-3.361600702,0.025,0.324668607
FAM71D,2.863785338,-3.488963648,0.025,0.324668607
LINC01251,3.976075356,-4.379737973,0.025,0.324668607
ARL2,-0.59567023,5.653715964,0.025,0.324668607
LINC01265,3.10870533,-3.971691267,0.025,0.324668607
TMEM205,-0.630051037,5.381509933,0.025,0.324668607
LOC101929125,2.03498926,-2.865096243,0.025,0.324668607
HCG22,2.542737388,-2.878630534,0.025,0.324668607
LOC102724708,1.754379777,-1.045955132,0.025,0.324668607
PRKCG,2.736492368,-2.338916161,0.025,0.325095337
LINC01481,1.349747141,0.057714555,0.025,0.325095337
ZNF98,2.254050763,-2.980384761,0.025,0.325861823
PSMA8,1.926597473,-2.423967157,0.025,0.325861823
CD14,0.783020329,3.818212934,0.025,0.325861823
PSMD4,-0.652507079,7.505560358,0.025,0.3268399
AKR1C2,-0.83314631,4.995568596,0.026,0.327263212
PSMB3,-0.575712107,5.310243109,0.026,0.327263212
SMDT1,-0.730301199,5.85102472,0.026,0.327263212
TCF7L1,0.666165825,3.062956069,0.026,0.327263212
MTCP1,-0.762088879,3.236199131,0.026,0.327263212
HPSE,1.330613661,-1.148206482,0.026,0.327317808
ANGPTL5,1.480013381,-0.333830419,0.026,0.327374558
FUNDC2P2,-1.023253306,-0.126996252,0.026,0.327432535
LINC00330,2.214646439,-1.471400979,0.026,0.327432535
CACNG8,1.188847528,1.101973532,0.026,0.327432535
ATRAID,-0.61519744,5.896234062,0.026,0.327432535
PKHD1L1,1.539955781,-0.581441426,0.026,0.327432535
HDAC11,-0.827748594,5.742348653,0.026,0.327432535
C3orf18,-0.720039151,4.667552802,0.026,0.327432535
STX11,1.103236021,1.925336254,0.026,0.327432535
HIST2H2BA,1.561951653,-2.598746951,0.026,0.328240246
TMTC4,-0.634469723,3.26509762,0.026,0.328240246
LOC100506682,3.337106412,-3.692760856,0.026,0.328240246
RPS14P3,-2.015726997,1.820536197,0.026,0.328240246
ELOVL7,1.398337006,-1.007760488,0.026,0.328240246
TMEM156,2.840242019,-2.725663183,0.026,0.328240246
BUB1B,1.654839751,-1.559966504,0.026,0.328240246
LINC00477,2.829680032,-2.855588734,0.026,0.328240246
MAP7D2,1.12646511,-0.011922567,0.026,0.328240246
GPC6,0.854808417,1.128331755,0.026,0.328240246
PAQR5,1.34406079,-0.711305838,0.026,0.328240246
PGAM2,-0.925392814,10.17892559,0.026,0.328240246
PTS,-0.858042763,3.723056849,0.026,0.328335917
S100A1,-1.006098568,8.990990996,0.026,0.328335917
HEXIM2,-1.066704991,5.801614593,0.026,0.328335917
OR4K2,2.968549491,-3.5282854,0.026,0.328335917
S100G,4.200275335,-4.269917151,0.026,0.328335917
ATP5H,-0.854073841,7.413422818,0.026,0.328523158
FKBP3,-1.050084891,6.94706783,0.026,0.328563068
SCGB2A2,4.170571135,-4.265228111,0.026,0.328563068
PLEKHH2,0.993011998,1.107318829,0.026,0.328946697
LOC102723322,3.044349084,-4.023666459,0.026,0.328946697
ACSM5,-0.818716301,3.759634107,0.026,0.329553341
SFPQ,0.868512883,5.767617977,0.027,0.330122037
ZNF358,-0.817530819,7.466368365,0.027,0.330122037
GABRE,1.153568963,0.950292207,0.027,0.330122037
RRAGD,-0.652394378,6.787662281,0.027,0.330122037
LMO7DN,2.22574465,-2.530802678,0.027,0.330122037
NSMCE1,-0.626104327,4.206540553,0.027,0.330122037
LINC00941,2.238632947,-2.692202221,0.027,0.330122037
DAAM2,-0.725195909,5.857232171,0.027,0.330122037
HPVC1,3.652957159,-3.468384103,0.027,0.330994986
LINC00486,2.675903354,-2.662904645,0.027,0.330994986
RPL26L1,-0.683361127,2.342756772,0.027,0.330994986
LOC100287896,-0.664365475,2.293667173,0.027,0.330994986
CASC6,3.529722568,-3.754232003,0.027,0.330994986
REL,1.019164012,2.473392562,0.027,0.330994986
SPATA24,-0.734359329,2.142640434,0.027,0.331095459
TMEM42,-0.611801327,2.93443855,0.027,0.331338717
EFNB2,0.856014848,4.310509656,0.027,0.331545717
FNDC5,-0.746386712,7.461496055,0.027,0.331545717
LKAAEAR1,2.866162289,-2.956667174,0.027,0.331545717
CLDN4,1.0428584,0.048815853,0.027,0.331743577
TPTE2P1,1.579932295,-1.166059997,0.027,0.331743577
STEAP3,-0.557659296,5.065133763,0.027,0.332105557
MLXIPL,0.675340962,4.854835685,0.027,0.333225701
CSF2,3.937006502,-3.999006934,0.027,0.333225701
DYDC1,3.617055211,-3.536339306,0.027,0.334443272
DPCD,-0.709944182,2.163477998,0.028,0.336583844
ABCB1,1.16195917,0.504494777,0.028,0.336583844
PRSS12,0.998862065,0.511908704,0.028,0.336583844
SDHB,-0.668580389,6.65770154,0.028,0.337504066
TREML3P,3.011548848,-3.069460222,0.028,0.337504066
LINC00911,3.791962504,-4.418272557,0.028,0.337504066
FBXO25,-0.590649569,3.454851089,0.028,0.337504066
LOC101928335,3.325368098,-3.659342804,0.028,0.337504066
LNP1,-0.70693268,1.712179854,0.028,0.337504066
LINC01138,1.24208676,-0.423423763,0.028,0.337633112
LOC101928403,1.966271087,-2.407640072,0.028,0.337862501
LOC101929565,4.456371444,-4.278476174,0.028,0.338046521
CDCA8,1.660158504,-1.400011265,0.028,0.338143356
LOC100505478,3.087743261,-3.925988047,0.028,0.338143356
LY6K,-1.098380863,3.040215406,0.028,0.338587227
INTS6L,1.236799866,1.279459017,0.028,0.338587227
BCAS1,1.783221946,-1.4994301,0.028,0.338587227
LOC105376351,2.914228903,-4.05421379,0.028,0.338587227
MRPL18,-0.560013762,4.787207257,0.028,0.338669736
TRIM49,2.919834693,-2.715374873,0.028,0.338669736
RUNX2,1.085885063,-0.516868403,0.028,0.338669736
CITED2,0.831080889,6.007319397,0.028,0.338669736
LINC01436,2.42520897,-2.179719163,0.028,0.338669736
ABL2,0.923583132,3.507553339,0.028,0.338669736
UQCRFS1,-0.697641976,7.772199607,0.028,0.338669736
OCLN,1.192840749,-0.219451116,0.028,0.338669736
CCDC192,-0.901205512,0.204435765,0.028,0.338669736
MERTK,0.879169794,1.735623658,0.028,0.338669736
SMKR1,1.788759885,-2.523377046,0.028,0.338669736
CHCHD10,-0.804630491,7.930152777,0.028,0.338669736
LOC100996634,1.736124123,-1.695060571,0.028,0.338669736
TPI1P3,-0.945014343,0.466178293,0.028,0.339062453
NTRK2,0.803821513,3.895128039,0.028,0.339311857
EMC6,-0.722842323,5.554024842,0.029,0.340717213
LOC101928858,2.35812642,-3.150753662,0.029,0.340717213
RARRES1,1.026925991,0.034389109,0.029,0.340928398
CLDN19,2.165731019,-1.569425814,0.029,0.340928398
CLYBL,-0.680818063,3.506081163,0.029,0.340928398
NDUFAF5,-0.755037382,3.670181332,0.029,0.341015376
TIMM13,-0.790582449,6.229195592,0.029,0.341015376
ICAM1,1.097553926,3.894261185,0.029,0.341015376
RNF181,-0.590904229,4.219729199,0.029,0.341015376
NCAPH,1.518019255,-0.793229893,0.029,0.341176852
SAMM50,-0.651359674,6.859474499,0.029,0.341176852
NDUFS2,-0.672393432,7.984846001,0.029,0.341176852
PGA3,1.437737718,-0.452133376,0.029,0.341361747
C4orf19,1.432136225,-1.418597305,0.029,0.342621644
AIMP2,-0.840484941,6.342212604,0.029,0.343521054
MARVELD3,1.863139712,-1.64437719,0.029,0.343521054
LCE6A,2.830520221,-4.017379797,0.029,0.343827723
