identifier,logFC,logCPM,p-Value,FDR
LINC01227,5.236136372,-2.953139248,0.002,0.191234855
MIR5689HG,5.217061356,-3.885917526,0.002,0.194174118
LINC00615,5.17027278,-3.849534967,0.002,0.202434568
GHSR,5.142363953,-2.537654147,0.002,0.191234855
LOC105375556,5.100918008,-3.999395555,0.006,0.225551985
CT45A5,5.098110309,-2.653199972,0.002,0.194174118
LOC646029,5.081431245,-3.084612356,0.002,0.194545554
ZFP42,5.073943702,-2.86496217,0.005,0.210678648
CT45A9,5.042918371,-2.7065396,0.002,0.194545554
FLJ46066,5.041659837,-3.337792304,0.004,0.2032697
CGA,5.039504289,-3.252131909,0.003,0.2032697
LOC285692,5.038518635,-3.398204584,0.003,0.2032697
LOC105369509,5.031887328,-3.999739503,0.01,0.258231456
CLEC1B,5.018775297,-3.998532226,0.003,0.2032697
HIST1H4A,5.017296714,-4.099640118,0.007,0.230479832
DSCAM-IT1,5.012473318,-3.831550764,0.004,0.2032697
CT45A2,5.007761888,-2.757213013,0.003,0.2032697
CT45A8,5.007759376,-2.757213013,0.003,0.2032697
LINC00928,4.995666779,-2.836439843,0.003,0.2032697
BDKRB1,4.946185112,-1.985941258,0.002,0.200783743
LOC105370586,4.918198622,-3.938935674,0.007,0.231425451
TRIM51,4.909899785,-3.867412789,0.01,0.253657854
LOC101927480,4.908736257,-3.598146348,0.006,0.225551985
LINC01568,4.908146405,-3.604339492,0.007,0.239546485
CASC17,4.896208159,-2.971104878,0.004,0.2032697
LOC101929631,4.891553715,-2.237772732,0.003,0.2032697
LINC01233,4.882018751,-3.905300055,0.007,0.230479832
LOC101927948,4.862833355,-3.449967615,0.005,0.217960803
OR13C5,4.858157935,-3.523217487,0.003,0.2032697
SSX2,4.846196693,-2.014386258,0.002,0.191234855
SSX2B,4.846192019,-2.014386258,0.002,0.191234855
CACNA1C-IT3,4.830501825,-4.004343277,0.007,0.234044931
LOC100500773,4.810985607,-3.447043568,0.008,0.244562119
SPATA3,4.796588246,-4.065197029,0.005,0.218790221
LOC101927374,4.78258402,-2.497052377,0.003,0.2032697
FBXO47,4.772831126,-3.558691535,0.004,0.2032697
LINC01493,4.749563402,-4.080217825,0.008,0.241914473
LOC105369431,4.746770589,-3.217993903,0.006,0.220290323
LOC105376468,4.743691575,-4.096024887,0.009,0.248049883
