child,parent
D11AX,D11A
D11A,D11
D11,D
M02AA19,M02AA
M01AE09,M01AE
R02AX01,R02AX
R02AX,R02A
R02A,R02
R02,R
S01BC04,S01BC
M01AX01,M01AX
M01AX,M01A
M01AH04,M01AH
M09AX03,M09AX
M09AX,M09A
M09A,M09
M09,M
L04AA27,L04AA
L04AA,L04A
L04A,L04
L04,L
N03AF02,N03AF
N03AF,N03A
N01BB09,N01BB
N01BB,N01B
N01B,N01
S01HA07,S01HA
S01HA,S01H
S01H,S01
D04AB01,D04AB
D04AB,D04A
R02AD02,R02AD
R02AD,R02A
C01BB01,C01BB
C01BB,C01B
C01B,C01
S02DA01,S02DA
S02DA,S02D
S02D,S02
S02,S
N01BB52,N01BB
C05AD01,C05AD
C05AD,C05A
C05A,C05
C05,C
N01BB02,N01BB
S01HA01,S01HA
S02DA02,S02DA
N01BC01,N01BC
N01BC,N01B
R02AD03,R02AD
N03AX09,N03AX
C01BA01,C01BA
C01BA,C01B
C01BA51,C01BA
C01BA71,C01BA
N03AX15,N03AX
N03AB01,N03AB
N03AB,N03A
C01BA03,C01BA
N06AB10,N06AB
N06AB05,N06AB
N06AB06,N06AB
N06AX21,N06AX
N06AX,N06A
N06AA10,N06AA
N06AA,N06A
N06AX23,N06AX
N06AA09,N06AA
N06CA01,N06CA
N06CA,N06C
N06C,N06
N06AX26,N06AX
N06CA03,N06CA
N06AB03,N06AB
A10BX06,A10BX
A10BX,A10B
B02BX09,B02BX
B02BX,B02B
B02B,B02
B02,B
A04AD12,A04AD
A04AD,A04A
A04AD14,A04AD
A16AX15,A16AX
A16AX,A16A
A16A,A16
A16,A
N07XX08,N07XX
A16AX06,A16AX
A16AX10,A16AX
C10AX02,C10AX
C10AX,C10A
C10A,C10
A01AD01,A01AD
R03AK01,R03AK
R03AK,R03A
R03A,R03
B02BC09,B02BC
B02BC,B02B
C01CA24,C01CA
C01CA,C01C
C01C,C01
S01EA01,S01EA
S01EA,S01E
S01E,S01
R01AA14,R01AA
R01AA,R01A
R03AA01,R03AA
R03AA,R03A
S01EA51,S01EA
C01CA03,C01CA
N05CM18,N05CM
N06AX11,N06AX
M02AX02,M02AX
M02AX,M02A
C04AB02,C04AB
C04AB,C04A
C02AC02,C02AC
C02AC,C02A
C02A,C02
C02,C
C07BG01,C07BG
C07BG,C07B
C07B,C07
C07CG01,C07CG
C07CG,C07C
C07C,C07
C07AG01,C07AG
C07AG,C07A
C07A,C07
D11AX21,D11AX
S01GA07,S01GA
S01GA,S01G
S01EA05,S01EA
C01CA27,C01CA
A10XA01,A10XA
A10XA,A10X
A10X,A10
C01AA04,C01AA
C01AA,C01A
C01A,C01
C01AA07,C01AA
C01AA05,C01AA
C01AA01,C01AA
C01AA06,C01AA
L01EL02,L01EL
L01EL,L01E
L01EL03,L01EL
L01EL01,L01EL
N03AX03,N03AX
C08DB01,C08DB
C08DB,C08D
C08D,C08
C05AE03,C05AE
C05AE,C05A
C07FB02,C07FB
C07FB,C07F
C08CA02,C08CA
C09BB05,C09BB
C09BB,C09B
C09B,C09
C09,C
C08CA03,C08CA
C01BD07,C01BD
C01BD,C01B
C09XA54,C09XA
C09XA,C09X
C09X,C09
C10BX07,C10BX
C09BB03,C09BB
C09BB04,C09BB
C07FB07,C07FB
C09DB06,C09DB
C09DB,C09D
C09D,C09
C10BX18,C10BX
C07FB12,C07FB
C09DB05,C09DB
C09XA53,C09XA
C10BX03,C10BX
C07FB13,C07FB
C08CA01,C08CA
C09BX04,C09BX
C09BX,C09B
C09BX03,C09BX
C09DB04,C09DB
C09DX03,C09DX
C09DX,C09D
C08GA02,C08GA
C08GA,C08G
C08G,C08
C09DB07,C09DB
C09DX06,C09DX
C09BX01,C09BX
C10BX11,C10BX
C09DB02,C09DB
C10BX09,C10BX
C09DX01,C09DX
C09DB09,C09DB
C09DB01,C09DB
C10BX14,C10BX
C09BB07,C09BB
C09DX07,C09DX
G04BD05,G04BD
C09BB10,C09BB
C08DA51,C08DA
C08DA,C08D
C08DA01,C08DA
C08CA55,C08CA
C08GA01,C08GA
C08CA05,C08CA
C07FB03,C07FB
C08CA04,C08CA
C08CA06,C08CA
C08CA07,C08CA
C08EA02,C08EA
C08EA,C08E
C08E,C08
A03AX12,A03AX
A03AX,A03A
A03A,A03
A16AA05,A16AA
A16AA,A16A
