node	type
C0005695	disease
C0023434	disease
C0026764	disease
C0242647	disease
DB11782	drug
654.0	gene
C0162820	disease
C0023493	disease
C0282193	disease
658.0	gene
C1832702	disease
C0015393	disease
C0025322	disease
C1836182	disease
C4225404	disease
C1300268	disease
C1862103	disease
C0152171	disease
C3203102	disease
C0265260	disease
C1862151	disease
C4225183	disease
C1856738	disease
C2930970	disease
C4317009	disease
C4505353	disease
C0278701	disease
C0878659	disease
388962.0	gene
C3280378	disease
C3502075	disease
6046.0	gene
C0025149	disease
C0205833	disease
C0278510	disease
C0278876	disease
C0751291	disease
C1275668	disease
C0017636	disease
C0334588	disease
C1621958	disease
DB12000	drug
DB15189	drug
694.0	gene
10950.0	gene
C0007134	disease
C0279702	disease
C1266042	disease
C1266043	disease
C1266044	disease
C1306837	disease
695.0	gene
C0221026	disease
C0001768	disease
C0086438	disease
C0472813	disease
C0345958	disease
C0496956	disease
C0858252	disease
C0000000	disease
DB11703	drug
DB15035	drug
DB09053	drug
DB15327	drug
DB15170	drug
701.0	gene
C0025958	disease
C0206656	disease
C1850343	disease
C1956147	disease
C2931286	disease
C2931383	disease
C3853041	disease
C1864389	disease
C0027654	disease
C0027658	disease
C0205851	disease
C0205852	disease
C0740345	disease
C0751364	disease
C0751365	disease
C0035412	disease
C4733331	disease
143379.0	gene
C0013146	disease
C0013170	disease
C0013222	disease
C0029231	disease
C0038580	disease
C0038586	disease
C0236969	disease
C0740858	disease
C1510472	disease
C4316881	disease
113246.0	gene
C1857512	disease
114899.0	gene
127795.0	gene
55286.0	gene
727.0	gene
C0031154	disease
C1449646	disease
C1449647	disease
C0024138	disease
C0272242	disease
C0343047	disease
C0003257	disease
C0021051	disease
729.0	gene
C2676232	disease
C0006663	disease
C0018824	disease
C0263628	disease
C0521174	disease
730.0	gene
C1864694	disease
735.0	gene
C3151189	disease
C0011633	disease
C0015456	disease
C0015704	disease
C0041834	disease
C0221056	disease
C0263666	disease
C0343097	disease
C0027412	disease
C0029095	disease
C0524661	disease
C0524662	disease
C1527402	disease
C4551628	disease
C0345967	disease
C0242383	disease
C3810042	disease
C0025294	disease
C1135745	disease
C1135746	disease
C1135747	disease
C1136209	disease
C1136210	disease
377677.0	gene
DB08329	drug
763.0	gene
C3810404	disease
767.0	gene
C2750509	disease
C0394006	disease
57010.0	gene
C0339535	disease
C4041558	disease
C3696898	disease
778.0	gene
C1848172	disease
C0268505	disease
C1845407	disease
C1850362	disease
C1864877	disease
C3495587	disease
C3501847	disease
C3711543	disease
DB00343	drug
DB01023	drug
DB00270	drug
DB04855	drug
DB00381	drug
DB13725	drug
DB00661	drug
DB01115	drug
DB00622	drug
DB00393	drug
DB00401	drug
55799.0	gene
DB01244	drug
DB12944	drug
DB12105	drug
DB12032	drug
93589.0	gene
C1864849	disease
783.0	gene
C0264893	disease
C0348626	disease
C0428908	disease
C1142166	disease
C1399226	disease
C2748542	disease
C4551804	disease
C0151879	disease
C2678477	disease
C0007194	disease
59283.0	gene
800.0	gene
79587.0	gene
C4225251	disease
55871.0	gene
C1968949	disease
54535.0	gene
C0236733	disease
C0236804	disease
C0236807	disease
6356.0	gene
C0013182	disease
C0007786	disease
C0917798	disease
C0034069	disease
C4721507	disease
C0035228	disease
C0011615	disease
C0086196	disease
C0020517	disease
C1527304	disease
C0949804	disease
C0004096	disease
6363.0	gene
6347.0	gene
C0027707	disease
C0041349	disease
C0032226	disease
C0027055	disease
C0085129	disease
C0035126	disease
C0853193	disease
C0037926	disease
C0742803	disease
C0020542	disease
C0524620	disease
C0020500	disease
C1298681	disease
C0007222	disease
C0041327	disease
C0011881	disease
C0017667	disease
C0038219	disease
C0080178	disease
C0266508	disease
C0007273	disease
C0577631	disease
C0600178	disease
C0750986	disease
C0750987	disease
C0022876	disease
C0023283	disease
C0086540	disease
C0086541	disease
C0035304	disease
C0241910	disease
C0013264	disease
C0917713	disease
C3542021	disease
C0010346	disease
C0156147	disease
C0267380	disease
C0678202	disease
C0949272	disease
C0040128	disease
C0040136	disease
C0151468	disease
C0549473	disease
C0041956	disease
C0020456	disease
C0020459	disease
C1257963	disease
C1257964	disease
C1257965	disease
C1855520	disease
C0876994	disease
C0235833	disease
C0265699	disease
C0265700	disease
C0011999	disease
C0027794	disease
C0027806	disease
C0080218	disease
C0152234	disease
C0152426	disease
C0266453	disease
C0344479	disease
C0702169	disease
C1834752	disease
6367.0	gene
894.0	gene
C1879677	disease
C0152427	disease
C1863924	disease
C4014742	disease
C0023467	disease
C0026998	disease
C1879321	disease
C0009451	disease
C0020255	disease
C0020256	disease
C0220697	disease
C0221355	disease
C0270720	disease
C0477432	disease
C0549423	disease
C1531647	disease
C1845668	disease
C1868120	disease
C2936718	disease
C2936786	disease
C3887487	disease
C4282400	disease
C0684249	disease
C4012727	disease
1236.0	gene
135228.0	gene
C3853779	disease
C3854603	disease
929.0	gene
C0013595	disease
C0011991	disease
C1262477	disease
10666.0	gene
C0024141	disease
C0242380	disease
917.0	gene
C0494261	disease
C3810107	disease
960.0	gene
C0023487	disease
C0037274	disease
C0274861	disease
C0274862	disease
C0311375	disease
C0751851	disease
C0751852	disease
C0042900	disease
C0022660	disease
C1565662	disease
C2609414	disease
C0017661	disease
C0009405	disease
C0032580	disease
C1333990	disease
C2713442	disease
C2713443	disease
C4552100	disease
922.0	gene
968.0	gene
C1862939	disease
C1862941	disease
C4551993	disease
C0022116	disease
C0003872	disease
C0005398	disease
9308.0	gene
8832.0	gene
55143.0	gene
C0010308	disease
C1563716	disease
64405.0	gene
1020.0	gene
C4225359	disease
C0949664	disease
DB12021	drug
DB08142	drug
DB06195	drug
DB12686	drug
8999.0	gene
C1335167	disease
1026.0	gene
C0021841	disease
C0346627	disease
C0007138	disease
C0030354	disease
C0205874	disease
C0205875	disease
C0238288	disease
C0025267	disease
C0004238	disease
C0235480	disease
C2585653	disease
C3468561	disease
91368.0	gene
50937.0	gene
C0079541	disease
C3280215	disease
C4053775	disease
C0238198	disease
C3179349	disease
C0431362	disease
C0431363	disease
C0751617	disease
1040.0	gene
1062.0	gene
C0265202	disease
C4015080	disease
C1292778	disease
57562.0	gene
C1865384	disease
22995.0	gene
C3553886	disease
C1858516	disease
C3151187	disease
C4551474	disease
C0431350	disease
C3711387	disease
29105.0	gene
1081.0	gene
C0018991	disease
C0085622	disease
C0154693	disease
C0154694	disease
C0278110	disease
C0392550	disease
C0521662	disease
C0751195	disease
C2931367	disease
C0028960	disease
C0001621	disease
C0029928	disease
C0042131	disease
C1720816	disease
8208.0	gene
C0026636	disease
400916.0	gene
C3888102	disease
C4014648	disease
C4015513	disease
C0002736	disease
C3554398	disease
51142.0	gene
C4225238	disease
54927.0	gene
1105.0	gene
C4540131	disease
C0025261	disease
C0233794	disease
C0751292	disease
C0751293	disease
C0751294	disease
C0751295	disease
1116.0	gene
C0017638	disease
C0259783	disease
C0555198	disease
C2677770	disease
10752.0	gene
C0015923	disease
C2985290	disease
1132.0	gene
C0007398	disease
C0338650	disease
C0750992	disease
C0750993	disease
C0040822	disease
C0040827	disease
C0149840	disease
C0234370	disease
C0234371	disease
C0234372	disease
C0234373	disease
C0234374	disease
C0234375	disease
C0234376	disease
C0234377	disease
C0234378	disease
C0234379	disease
C0234381	disease
C0235078	disease
C0235081	disease
C0235082	disease
C0235083	disease
C0235843	disease
C0751564	disease
C0751565	disease
C1527384	disease
DB15357	drug
64377.0	gene
C4015729	disease
C4748093	disease
C1849193	disease
10518.0	gene
C1568247	disease
C1836199	disease
C3553944	disease
C3711374	disease
C1384666	disease
1149.0	gene
63924.0	gene
C3808940	disease
C1720859	disease
C1720860	disease
C1720861	disease
10370.0	gene
C0018816	disease
C0344724	disease
C0344730	disease
C0026846	disease
C0270948	disease
C3280790	disease
C0018818	disease
C0037221	disease
C0039685	disease
C3280783	disease
1158.0	gene
C0948089	disease
1164.0	gene
23529.0	gene
C1832409	disease
C1848947	disease
C1853198	disease
9076.0	gene
C1843355	disease
C0086873	disease
C2936846	disease
5010.0	gene
C0026769	disease
C0751324	disease
149461.0	gene
C1855466	disease
C2931121	disease
C4721891	disease
1364.0	gene
C0027643	disease
51266.0	gene
56942.0	gene
1258.0	gene
C3151066	disease
26507.0	gene
5067.0	gene
26047.0	gene
